Operon Name	Total C.Score	Deletion C.Score	Splits C.Score	Duplications C.Score
bsub-BSU20740	0.0000	0.0000	0.0000	0.0000
bsub-BSU15490	0.0000	0.0000	0.0000	0.0000
bsub-BSU20180	0.0000	0.0000	0.0000	0.0000
bsub-BSU20920	0.0000	0.0000	0.0000	0.0000
bsub-BSU32710	0.0000	0.0000	0.0000	0.0000
bsub-BSU23150	0.0000	0.0000	0.0000	0.0000
bsub-BSU33950	0.0000	0.0000	0.0000	0.0000
bsub-BSU24430	0.0000	0.0000	0.0000	0.0000
bsub-BSU01070	0.0000	0.0000	0.0000	0.0000
bsub-BSU28170	0.0000	0.0000	0.0000	0.0000
bsub-BSU15880	0.0000	0.0000	0.0000	0.0000
bsub-BSU00930	0.0000	0.0000	0.0000	0.0000
bsub-BSU34930	0.0000	0.0000	0.0000	0.0000
bsub-BSU19940	0.0000	0.0000	0.0000	0.0000
bsub-BSU11190	0.0000	0.0000	0.0000	0.0000
bsub-BSU28030	0.0000	0.0000	0.0000	0.0000
bsub-BSU16590	0.1429	0.0000	0.1429	0.0000
bsub-BSU16490	0.1429	0.1429	0.0000	0.0000
bsub-BSU28560	0.1429	0.0000	0.1429	0.0000
bsub-BSU06420	0.1429	0.0000	0.1429	0.0000
bsub-BSU16730	0.1429	0.0000	0.1429	0.0000
bsub-BSU28310	0.1429	0.0000	0.1429	0.0000
bsub-BSU00830	0.1429	0.1429	0.0000	0.0000
bsub-BSU22500	0.2637	0.0000	0.2637	0.0000
bsub-BSU16120	0.2857	0.0000	0.2857	0.0000
bsub-BSU15370	0.2857	0.1429	0.1429	0.0000
bsub-BSU25510	0.3626	0.0000	0.3626	0.0000
bsub-BSU24300	0.3626	0.0000	0.3626	0.0000
bsub-BSU25680	0.4396	0.0000	0.4396	0.0000
bsub-BSU05900	0.4615	0.4615	0.0000	0.0000
bsub-BSU26030	0.5000	0.0000	0.5000	0.0000
bsub-BSU12570	0.5000	0.5000	0.0000	0.0000
bsub-BSU40410	0.5275	0.2637	0.2637	0.0000
bsub-BSU12920	0.5275	0.5275	0.0000	0.0000
bsub-BSU00500	0.5495	0.4066	0.1429	0.0000
bsub-BSU30980	0.5556	0.2000	0.3556	0.0000
bsub-BSU14880	0.5824	0.0000	0.5824	0.0000
bsub-BSU27630	0.6264	0.3626	0.2637	0.0000
bsub-BSU35000	0.6374	0.4945	0.1429	0.0000
bsub-BSU23690	0.8000	0.4000	0.4000	0.0000
bsub-BSU24090	0.8791	0.8791	0.0000	0.0000
bsub-BSU36880	0.8901	0.6264	0.2637	0.0000
bsub-BSU00570	0.8901	0.5275	0.3626	0.0000
bsub-BSU34780	0.9341	0.4945	0.4396	0.0000
bsub-BSU00990	0.9890	0.5495	0.4396	0.0000
bsub-BSU24990	0.9890	0.4945	0.4945	0.0000
bsub-BSU30420	1.0440	0.5385	0.5055	0.0000
bsub-BSU11430	1.0659	0.5275	0.5385	0.0000
bsub-BSU00740	1.1099	0.4396	0.6703	0.0000
bsub-BSU10720	1.1333	0.9333	0.2000	0.0000
bsub-BSU22680	1.1429	0.2637	0.8791	0.0000
bsub-BSU35910	1.1538	0.6484	0.5055	0.0000
bsub-BSU13870	1.1648	0.1429	1.0220	0.0000
bsub-BSU00270	1.1648	0.6703	0.4945	0.0000
bsub-BSU23030	1.1648	1.0220	0.1429	0.0000
bsub-BSU15570	1.1868	0.5055	0.6813	0.0000
bsub-BSU08060	1.2527	0.2637	0.9890	0.0000
bsub-BSU14260	1.2637	0.2857	0.9780	0.0000
bsub-BSU08290	1.3077	0.7253	0.5824	0.0000
bsub-BSU24170	1.3077	0.5824	0.7253	0.0000
bsub-BSU04670	1.3187	1.0549	0.2637	0.0000
bsub-BSU01150	1.3407	0.7912	0.5495	0.0000
bsub-BSU27490	1.3956	0.9011	0.4945	0.0000
bsub-BSU31600	1.4103	1.4103	0.0000	0.0000
bsub-BSU38600	1.4359	0.6154	0.8205	0.0000
bsub-BSU23440	1.4396	0.8132	0.6264	0.0000
bsub-BSU30135	1.4643	0.5000	0.9643	0.0000
bsub-BSU35350	1.5303	1.3636	0.1667	0.0000
bsub-BSU36210	1.5333	0.9333	0.6000	0.0000
bsub-BSU32510	1.5333	0.9333	0.6000	0.0000
bsub-BSU30260	1.5495	0.5824	0.9670	0.0000
bsub-BSU32610	1.5714	1.2088	0.3626	0.0000
bsub-BSU15660	1.5824	0.7253	0.8571	0.0000
bsub-BSU25980	1.6667	0.6667	1.0000	0.0000
bsub-BSU39350	1.6727	0.5455	1.1273	0.0000
bsub-BSU31710	1.8242	1.1319	0.6703	0.0220
bsub-BSU38500	1.8333	1.3889	0.4444	0.0000
bsub-BSU02530	1.8352	1.2418	0.4066	0.1868
bsub-BSU19740	1.8974	0.5897	1.3077	0.0000
bsub-BSU32420	1.9000	1.4000	0.4000	0.1000
bsub-BSU38760	1.9231	1.0220	0.9011	0.0000
bsub-BSU21480	1.9890	1.3077	0.6813	0.0000
bsub-BSU03320	2.0303	0.7121	1.2424	0.0758
bsub-BSU11650	2.0513	0.7692	1.2821	0.0000
bsub-BSU08920	2.0879	1.5934	0.4945	0.0000
bsub-BSU39320	2.1905	1.9048	0.2857	0.0000
bsub-BSU18340	2.2143	1.4643	0.4286	0.3214
bsub-BSU26950	2.2545	1.5273	0.7273	0.0000
bsub-BSU39520	2.2857	1.4286	0.8022	0.0549
bsub-BSU04050	2.2967	1.6593	0.6374	0.0000
bsub-BSU39680	2.3077	1.4286	0.7253	0.1538
bsub-BSU02460	2.3810	1.3333	1.0476	0.0000
bsub-BSU34180	2.3956	1.2857	1.1099	0.0000
bsub-BSU30830	2.4359	0.9231	1.5128	0.0000
bsub-BSU24730	2.4615	2.0989	0.3626	0.0000
bsub-BSU30240	2.5000	1.0556	1.4444	0.0000
bsub-BSU15170	2.5275	1.5824	0.9451	0.0000
bsub-BSU31910	2.5333	1.6444	0.8889	0.0000
bsub-BSU18260	2.5495	0.9560	1.5714	0.0220
bsub-BSU38700	2.5495	2.0549	0.4945	0.0000
bsub-BSU31220	2.5714	2.0000	0.5714	0.0000
bsub-BSU19080	2.5778	1.3778	1.2000	0.0000
bsub-BSU01700	2.5897	1.3077	1.2821	0.0000
bsub-BSU05810	2.8333	1.2879	1.5303	0.0152
bsub-BSU37350	2.8718	2.0769	0.7949	0.0000
bsub-BSU37740	2.9333	2.2667	0.6667	0.0000
bsub-BSU39170	3.0000	3.0000	0.0000	0.0000
bsub-BSU32000	3.0909	1.8788	1.1212	0.0909
bsub-BSU34630	3.2637	1.7912	1.4615	0.0110
bsub-BSU21240	3.3333	2.6667	0.6667	0.0000
bsub-BSU39760	3.4222	2.0000	1.4222	0.0000
bsub-BSU26200	3.6667	2.3333	1.0000	0.3333
bsub-BSU28800	3.7802	2.2527	1.5275	0.0000
bsub-BSU17110	3.8636	2.3333	1.5152	0.0152
bsub-BSU21340	4.0000	4.0000	0.0000	0.0000
bsub-BSU04880	4.0000	2.6667	1.3333	0.0000
bsub-BSU08990	4.5275	2.9780	1.5165	0.0330
bsub-BSU12720	4.7000	3.6000	1.0000	0.1000
bsub-BSU37910	4.8636	3.8485	1.0152	0.0000
bsub-BSU06940	5.0879	3.4066	1.6154	0.0659
bsub-BSU29390	5.1099	3.2747	1.8352	0.0000
bsub-BSU12300	5.1538	3.5897	1.4872	0.0769
bsub-BSU20390	6.0000	4.0000	2.0000	0.0000
bsub-BSU34350	6.5273	4.7636	1.7455	0.0182
bsub-BSU16180	8.5934	5.4725	3.1209	0.0000
bsub-BSU21100	11.0000	10.0000	1.0000	0.0000
bsub-BSU20320	11.0000	11.0000	0.0000	0.0000
