Operon Name	Total C.Score	Deletion C.Score	Splits C.Score	Duplications C.Score
rplKAJL-rpoBC	0.4975	0.1109	0.3866	0.0000
dppABCDF	0.8057	0.6154	0.1889	0.0013
cyoABCDE	1.0767	0.5556	0.5185	0.0026
leuLABCD	1.0968	0.1892	0.9075	0.0000
gatYZABCD	1.1667	0.5000	0.6667	0.0000
pspABCDE	1.3571	1.1071	0.2500	0.0000
chbBCARFG	1.6190	0.8571	0.7619	0.0000
livKHMGF	1.7879	1.2193	0.5579	0.0107
srlAEBD-gutM-srlR-gutQ	1.8000	1.4500	0.3250	0.0250
mdtABCD-baeSR	1.8316	0.9024	0.7898	0.1394
trpLEDCBA	1.8353	0.6084	1.1227	0.1042
rnc-era-recO-pdxJ-acpS	1.8569	1.0060	0.8508	0.0000
hisLGDCBHAFI	1.9715	0.3369	1.6346	0.0000
atpIBEFHAGDC	1.9832	1.5899	0.3933	0.0000
casABCDE12	2.0000	2.0000	0.0000	0.0000
hyaABCDEF	2.0000	1.6111	0.3889	0.0000
pstSCAB-phoU	2.0220	1.6732	0.3220	0.0268
thrS-infC-rpmI-rplT-pheMST-ihfA	2.0370	0.4773	1.5597	0.0000
ulaABCDEF	2.1071	1.5714	0.5357	0.0000
yceD-rpmF-plsX-fabHDG-acpP-fabF	2.1143	1.4017	0.7126	0.0000
nsrR-rnr-rlmB-yjfIJ	2.1632	1.2263	0.9368	0.0000
fliFGHIJK	2.1662	1.6462	0.5200	0.0000
hcaEFCBD	2.2857	1.5810	0.6476	0.0571
thiCEFSGH	2.2857	1.5048	0.7810	0.0000
ssuEADCB	2.3225	1.7328	0.5560	0.0337
glgBXCAP	2.3508	1.4954	0.8400	0.0154
menFDHBCE	2.3524	1.5905	0.7429	0.0190
cysPUWAM	2.3575	1.5488	0.7971	0.0116
puuDRCBE	2.3633	1.1133	1.2333	0.0167
lptD-surA-pdxA-rsmA-apaGH	2.4516	1.1054	1.3462	0.0000
astCADBE	2.4862	1.7154	0.7115	0.0593
sdhCDAB-sucABCD	2.5378	1.5933	0.9445	0.0000
nanATEK-yhcH	2.5556	1.2222	1.3333	0.0000
ivbL-ilvBN-uhpABC	2.7206	1.7500	0.8824	0.0882
fucPIKUR	2.7273	1.9636	0.6909	0.0727
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	2.7597	0.8941	1.8655	0.0000
rbsDACBKR	2.7710	1.8407	0.9303	0.0000
fecABCDE	2.7913	1.8378	0.8288	0.1246
lsrACDBFG-tam	2.9489	2.3604	0.5886	0.0000
yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC	3.0114	0.9811	2.0303	0.0000
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	3.0455	1.7879	1.2576	0.0000
nuoABCEFGHIJKLMN	3.0492	2.1174	0.8826	0.0492
ydhYVWXUT	3.2667	2.6667	0.6000	0.0000
caiTABCDE	3.2792	1.8234	1.3789	0.0769
glcDEFGBA	3.3842	2.2000	1.1842	0.0000
hypABCDE-fhlA	3.4242	2.3182	1.1061	0.0000
ydgK-rsxABCDGE-nth	3.4476	2.8476	0.6000	0.0000
tdcABCDEFG	3.7905	1.7905	1.9619	0.0381
flgBCDEFGHIJ	3.9204	2.2710	1.6473	0.0022
hycABCDEFGHI	4.0220	2.7033	1.2527	0.0659
yiaKLMNO-lyxK-sgbHUE	4.5029	3.2982	1.2047	0.0000
hyfABCDEFGHIJR-focB	4.6714	3.3024	1.2137	0.1552
paaABCDEFGHIJK	5.0507	3.9420	1.0942	0.0145
yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr	5.0875	3.9734	1.1141	0.0000
